icd_code,optimal_threshold,val_f1_tuned,test_f1_default,test_f1_tuned,train_count
Z951,0.550000011920929,0.8310502171516418,0.8393891521853607,0.8383233532934131,6274
I2510,0.550000011920929,0.7548069953918457,0.7458709229701597,0.7619332635044141,22606
I10,0.550000011920929,0.7184407114982605,0.7230810957417955,0.7238095238095238,43570
E785,0.5,0.7133707404136658,0.7111516177332204,0.7111516177332204,44038
Z955,0.550000011920929,0.682948887348175,0.6892609228256431,0.6953305594082293,7759
J449,0.550000011920929,0.6349693536758423,0.6275979557069846,0.6345441067457376,10268
E1122,0.550000011920929,0.6390315294265747,0.6173590003377237,0.6285278413424866,9205
Z794,0.550000011920929,0.6358104944229126,0.6198895027624309,0.6199356913183279,15275
Z86718,0.550000011920929,0.5851344466209412,0.6124711316397229,0.6117886178861789,7598
I252,0.550000011920929,0.6232269406318665,0.586924219910847,0.6044483209768862,8577
Z7901,0.44999998807907104,0.5954360365867615,0.6263736263736264,0.6043440486533449,15321
E039,0.5,0.6089096665382385,0.5988872028325746,0.5988872028325746,15252
E119,0.5,0.5702337026596069,0.5865184155663655,0.5865184155663655,13572
I4891,0.5,0.5422045588493347,0.5728202630297126,0.5728202630297126,12034
G4733,0.550000011920929,0.5795755982398987,0.57005700570057,0.5688133376920562,12658
Z8673,0.5,0.5765189528465271,0.5655622958469435,0.5655622958469435,7911
J45909,0.5,0.5735133290290833,0.5647743813682679,0.5647743813682679,10612
K219,0.5,0.5577149391174316,0.5535977950585688,0.5535977950585688,30801
I130,0.5,0.549834668636322,0.551981351981352,0.551981351981352,6516
D62,0.5,0.550715982913971,0.549686660698299,0.549686660698299,10130
N179,0.5,0.5316036343574524,0.5374186550976139,0.5374186550976139,19705
Z87891,0.44999998807907104,0.5298729538917542,0.5146459598677635,0.5314189595097921,36294
F329,0.5,0.5363819599151611,0.5265288419835189,0.5265288419835189,23228
I129,0.5,0.5104542374610901,0.49294245385450597,0.49294245385450597,9432
F419,0.5,0.5174552798271179,0.4893732970027248,0.4893732970027248,19151
I110,0.5,0.4675664007663727,0.47466216216216217,0.47466216216216217,7435
N183,0.5,0.4568764567375183,0.45724907063197023,0.45724907063197023,6804
M109,0.5,0.47593581676483154,0.4476439790575916,0.4476439790575916,6219
Z66,0.44999998807907104,0.4244147837162018,0.429664508534432,0.4304185842647381,10743
I480,0.44999998807907104,0.4208921194076538,0.3747016706443914,0.4297652208515718,6695
N400,0.5,0.4141414165496826,0.4250132485426603,0.4250132485426603,6816
E669,0.5,0.43410325050354004,0.41830065359477125,0.41830065359477125,12145
I5032,0.5,0.4334650933742523,0.416141235813367,0.416141235813367,5635
F17210,0.44999998807907104,0.3811098039150238,0.40132171823370383,0.4050811573747354,11619
J9601,0.5,0.4250764548778534,0.3997944501541624,0.3997944501541624,5896
N189,0.44999998807907104,0.39113786816596985,0.37841726618705035,0.3973082099596231,8565
Z7902,0.44999998807907104,0.40522220730781555,0.35098438560760353,0.3831360946745562,10516
N390,0.5,0.39550715684890747,0.3818791946308725,0.3818791946308725,9659
G8929,0.44999998807907104,0.3822784721851349,0.3380726698262243,0.3625779625779626,7535
E871,0.44999998807907104,0.3663334548473358,0.3586019064911484,0.3501464367068012,8643
J189,0.44999998807907104,0.3486024737358093,0.34432643935159307,0.347068145800317,5790
E872,0.44999998807907104,0.33665159344673157,0.29964850615114236,0.33743620534374064,8160
Y929,0.4000000059604645,0.3088013529777527,0.23475956077243468,0.2964174709635204,11548
D649,0.4000000059604645,0.26582610607147217,0.07844946931241348,0.26348087217652433,12467
Y92230,0.4000000059604645,0.22511431574821472,0.12704174228675136,0.2245762711864407,5653
K5900,0.4000000059604645,0.2184450775384903,0.07069767441860465,0.21052631578947367,7097
D696,0.4000000059604645,0.21430782973766327,0.06525573192239859,0.1956386292834891,6438
Y92239,0.4000000059604645,0.19469669461250305,0.05108055009823183,0.1872934263679765,5981
G4700,0.4000000059604645,0.15891133248806,0.044358727097396335,0.16512955643390426,6450
Z23,0.3499999940395355,0.11223944276571274,0.0,0.10272703203600742,5714
